Tiempo de predicción,Año,Presupuesto de horas,Horas acertadas
168,2021,10,0
168,2021,20,0
168,2021,30,0
168,2021,40,0
168,2021,50,0
168,2021,60,0
168,2021,70,0
168,2021,80,0
168,2021,90,0
168,2021,100,0
168,2021,110,0
168,2021,120,0
168,2021,130,0
168,2021,140,0
168,2021,150,0
168,2021,160,0
168,2021,170,0
168,2021,180,0
168,2021,190,0
168,2021,200,0
168,2021,210,0
168,2021,220,1
168,2021,230,1
168,2021,240,2
168,2021,250,2
168,2021,260,2
168,2021,270,3
168,2021,280,4
168,2021,290,5
168,2021,300,8
168,2021,310,9
168,2021,320,10
168,2021,330,11
168,2021,340,13
168,2021,350,13
168,2021,360,14
168,2021,370,16
168,2021,380,17
168,2021,390,18
168,2021,400,19
24,2021,10,0
24,2021,20,0
24,2021,30,0
24,2021,40,0
24,2021,50,0
24,2021,60,0
24,2021,70,0
24,2021,80,0
24,2021,90,0
24,2021,100,0
24,2021,110,0
24,2021,120,0
24,2021,130,0
24,2021,140,0
24,2021,150,0
24,2021,160,0
24,2021,170,0
24,2021,180,0
24,2021,190,0
24,2021,200,0
24,2021,210,0
24,2021,220,0
24,2021,230,0
24,2021,240,0
24,2021,250,0
24,2021,260,0
24,2021,270,0
24,2021,280,1
24,2021,290,1
24,2021,300,3
24,2021,310,4
24,2021,320,6
24,2021,330,8
24,2021,340,9
24,2021,350,9
24,2021,360,10
24,2021,370,11
24,2021,380,11
24,2021,390,14
24,2021,400,14
6,2021,10,0
6,2021,20,0
6,2021,30,0
6,2021,40,0
6,2021,50,0
6,2021,60,0
6,2021,70,0
6,2021,80,0
6,2021,90,0
6,2021,100,0
6,2021,110,0
6,2021,120,0
6,2021,130,0
6,2021,140,0
6,2021,150,0
6,2021,160,1
6,2021,170,1
6,2021,180,2
6,2021,190,2
6,2021,200,3
6,2021,210,4
6,2021,220,4
6,2021,230,7
6,2021,240,8
6,2021,250,12
6,2021,260,12
6,2021,270,13
6,2021,280,13
6,2021,290,14
6,2021,300,15
6,2021,310,15
6,2021,320,15
6,2021,330,16
6,2021,340,17
6,2021,350,19
6,2021,360,19
6,2021,370,20
6,2021,380,22
6,2021,390,23
6,2021,400,26
3,2021,10,0
3,2021,20,0
3,2021,30,0
3,2021,40,0
3,2021,50,0
3,2021,60,0
3,2021,70,0
3,2021,80,0
3,2021,90,0
3,2021,100,0
3,2021,110,0
3,2021,120,0
3,2021,130,0
3,2021,140,0
3,2021,150,0
3,2021,160,0
3,2021,170,0
3,2021,180,0
3,2021,190,0
3,2021,200,2
3,2021,210,3
3,2021,220,4
3,2021,230,4
3,2021,240,4
3,2021,250,5
3,2021,260,6
3,2021,270,8
3,2021,280,8
3,2021,290,9
3,2021,300,9
3,2021,310,11
3,2021,320,14
3,2021,330,14
3,2021,340,17
3,2021,350,19
3,2021,360,19
3,2021,370,19
3,2021,380,19
3,2021,390,21
3,2021,400,22
2,2021,10,0
2,2021,20,0
2,2021,30,0
2,2021,40,0
2,2021,50,0
2,2021,60,0
2,2021,70,0
2,2021,80,0
2,2021,90,0
2,2021,100,0
2,2021,110,0
2,2021,120,0
2,2021,130,0
2,2021,140,0
2,2021,150,0
2,2021,160,0
2,2021,170,0
2,2021,180,0
2,2021,190,0
2,2021,200,0
2,2021,210,1
2,2021,220,2
2,2021,230,3
2,2021,240,3
2,2021,250,6
2,2021,260,8
2,2021,270,9
2,2021,280,10
2,2021,290,12
2,2021,300,12
2,2021,310,12
2,2021,320,13
2,2021,330,13
2,2021,340,13
2,2021,350,13
2,2021,360,15
2,2021,370,17
2,2021,380,18
2,2021,390,19
2,2021,400,20
1,2021,10,0
1,2021,20,0
1,2021,30,0
1,2021,40,0
1,2021,50,0
1,2021,60,0
1,2021,70,0
1,2021,80,0
1,2021,90,0
1,2021,100,0
1,2021,110,0
1,2021,120,0
1,2021,130,0
1,2021,140,0
1,2021,150,0
1,2021,160,0
1,2021,170,0
1,2021,180,1
1,2021,190,1
1,2021,200,1
1,2021,210,2
1,2021,220,3
1,2021,230,5
1,2021,240,6
1,2021,250,6
1,2021,260,7
1,2021,270,8
1,2021,280,9
1,2021,290,10
1,2021,300,12
1,2021,310,13
1,2021,320,14
1,2021,330,15
1,2021,340,17
1,2021,350,18
1,2021,360,18
1,2021,370,18
1,2021,380,19
1,2021,390,20
1,2021,400,20
168,2022,10,1
168,2022,20,5
168,2022,30,9
168,2022,40,11
168,2022,50,13
168,2022,60,15
168,2022,70,18
168,2022,80,18
168,2022,90,19
168,2022,100,22
168,2022,110,24
168,2022,120,26
168,2022,130,27
168,2022,140,27
168,2022,150,28
168,2022,160,28
168,2022,170,30
168,2022,180,30
168,2022,190,30
168,2022,200,30
168,2022,210,33
168,2022,220,36
168,2022,230,38
168,2022,240,38
168,2022,250,42
168,2022,260,42
168,2022,270,43
168,2022,280,43
168,2022,290,44
168,2022,300,45
168,2022,310,45
168,2022,320,45
168,2022,330,46
168,2022,340,46
168,2022,350,47
168,2022,360,48
168,2022,370,49
168,2022,380,49
168,2022,390,51
168,2022,400,52
24,2022,10,2
24,2022,20,2
24,2022,30,5
24,2022,40,5
24,2022,50,7
24,2022,60,9
24,2022,70,11
24,2022,80,12
24,2022,90,13
24,2022,100,13
24,2022,110,13
24,2022,120,15
24,2022,130,16
24,2022,140,17
24,2022,150,19
24,2022,160,22
24,2022,170,23
24,2022,180,23
24,2022,190,23
24,2022,200,24
24,2022,210,25
24,2022,220,25
24,2022,230,26
24,2022,240,27
24,2022,250,27
24,2022,260,27
24,2022,270,28
24,2022,280,29
24,2022,290,29
24,2022,300,30
24,2022,310,30
24,2022,320,32
24,2022,330,34
24,2022,340,36
24,2022,350,37
24,2022,360,39
24,2022,370,40
24,2022,380,40
24,2022,390,43
24,2022,400,45
6,2022,10,0
6,2022,20,0
6,2022,30,0
6,2022,40,2
6,2022,50,3
6,2022,60,3
6,2022,70,4
6,2022,80,6
6,2022,90,8
6,2022,100,9
6,2022,110,9
6,2022,120,9
6,2022,130,11
6,2022,140,11
6,2022,150,14
6,2022,160,16
6,2022,170,17
6,2022,180,19
6,2022,190,21
6,2022,200,22
6,2022,210,25
6,2022,220,25
6,2022,230,27
6,2022,240,27
6,2022,250,28
6,2022,260,29
6,2022,270,29
6,2022,280,29
6,2022,290,30
6,2022,300,31
6,2022,310,32
6,2022,320,34
6,2022,330,35
6,2022,340,36
6,2022,350,36
6,2022,360,39
6,2022,370,41
6,2022,380,42
6,2022,390,43
6,2022,400,43
3,2022,10,0
3,2022,20,0
3,2022,30,0
3,2022,40,1
3,2022,50,1
3,2022,60,2
3,2022,70,2
3,2022,80,2
3,2022,90,3
3,2022,100,5
3,2022,110,6
3,2022,120,8
3,2022,130,10
3,2022,140,10
3,2022,150,11
3,2022,160,13
3,2022,170,14
3,2022,180,15
3,2022,190,15
3,2022,200,16
3,2022,210,16
3,2022,220,17
3,2022,230,19
3,2022,240,21
3,2022,250,21
3,2022,260,22
3,2022,270,26
3,2022,280,26
3,2022,290,26
3,2022,300,26
3,2022,310,27
3,2022,320,28
3,2022,330,28
3,2022,340,30
3,2022,350,30
3,2022,360,30
3,2022,370,32
3,2022,380,33
3,2022,390,36
3,2022,400,39
2,2022,10,0
2,2022,20,0
2,2022,30,1
2,2022,40,1
2,2022,50,1
2,2022,60,2
2,2022,70,2
2,2022,80,2
2,2022,90,2
2,2022,100,3
2,2022,110,4
2,2022,120,6
2,2022,130,7
2,2022,140,9
2,2022,150,10
2,2022,160,10
2,2022,170,12
2,2022,180,12
2,2022,190,14
2,2022,200,16
2,2022,210,16
2,2022,220,16
2,2022,230,19
2,2022,240,20
2,2022,250,21
2,2022,260,23
2,2022,270,26
2,2022,280,28
2,2022,290,28
2,2022,300,29
2,2022,310,29
2,2022,320,31
2,2022,330,32
2,2022,340,33
2,2022,350,35
2,2022,360,36
2,2022,370,36
2,2022,380,36
2,2022,390,36
2,2022,400,36
1,2022,10,0
1,2022,20,0
1,2022,30,0
1,2022,40,2
1,2022,50,4
1,2022,60,8
1,2022,70,10
1,2022,80,12
1,2022,90,12
1,2022,100,14
1,2022,110,15
1,2022,120,16
1,2022,130,18
1,2022,140,18
1,2022,150,20
1,2022,160,21
1,2022,170,21
1,2022,180,21
1,2022,190,22
1,2022,200,23
1,2022,210,24
1,2022,220,26
1,2022,230,28
1,2022,240,28
1,2022,250,29
1,2022,260,32
1,2022,270,33
1,2022,280,34
1,2022,290,35
1,2022,300,37
1,2022,310,37
1,2022,320,38
1,2022,330,39
1,2022,340,40
1,2022,350,41
1,2022,360,41
1,2022,370,41
1,2022,380,41
1,2022,390,41
1,2022,400,44
168,2023,10,1
168,2023,20,4
168,2023,30,5
168,2023,40,6
168,2023,50,6
168,2023,60,9
168,2023,70,9
168,2023,80,10
168,2023,90,10
168,2023,100,11
168,2023,110,12
168,2023,120,12
168,2023,130,13
168,2023,140,13
168,2023,150,14
168,2023,160,15
168,2023,170,15
168,2023,180,15
168,2023,190,15
168,2023,200,17
168,2023,210,17
168,2023,220,18
168,2023,230,18
168,2023,240,20
168,2023,250,20
168,2023,260,21
168,2023,270,22
168,2023,280,22
168,2023,290,23
168,2023,300,25
168,2023,310,27
168,2023,320,28
168,2023,330,28
168,2023,340,31
168,2023,350,33
168,2023,360,34
168,2023,370,38
168,2023,380,38
168,2023,390,39
168,2023,400,42
24,2023,10,2
24,2023,20,6
24,2023,30,8
24,2023,40,9
24,2023,50,10
24,2023,60,10
24,2023,70,10
24,2023,80,10
24,2023,90,11
24,2023,100,12
24,2023,110,13
24,2023,120,14
24,2023,130,15
24,2023,140,16
24,2023,150,17
24,2023,160,18
24,2023,170,18
24,2023,180,18
24,2023,190,18
24,2023,200,20
24,2023,210,21
24,2023,220,22
24,2023,230,25
24,2023,240,25
24,2023,250,27
24,2023,260,31
24,2023,270,33
24,2023,280,35
24,2023,290,37
24,2023,300,39
24,2023,310,39
24,2023,320,42
24,2023,330,44
24,2023,340,45
24,2023,350,46
24,2023,360,46
24,2023,370,48
24,2023,380,49
24,2023,390,52
24,2023,400,55
6,2023,10,2
6,2023,20,4
6,2023,30,4
6,2023,40,5
6,2023,50,7
6,2023,60,9
6,2023,70,9
6,2023,80,11
6,2023,90,12
6,2023,100,12
6,2023,110,12
6,2023,120,13
6,2023,130,14
6,2023,140,14
6,2023,150,14
6,2023,160,15
6,2023,170,15
6,2023,180,16
6,2023,190,17
6,2023,200,19
6,2023,210,19
6,2023,220,21
6,2023,230,21
6,2023,240,21
6,2023,250,21
6,2023,260,21
6,2023,270,23
6,2023,280,23
6,2023,290,26
6,2023,300,29
6,2023,310,29
6,2023,320,32
6,2023,330,33
6,2023,340,33
6,2023,350,33
6,2023,360,33
6,2023,370,33
6,2023,380,34
6,2023,390,34
6,2023,400,34
3,2023,10,4
3,2023,20,8
3,2023,30,8
3,2023,40,10
3,2023,50,11
3,2023,60,11
3,2023,70,11
3,2023,80,12
3,2023,90,13
3,2023,100,14
3,2023,110,16
3,2023,120,17
3,2023,130,19
3,2023,140,19
3,2023,150,22
3,2023,160,23
3,2023,170,25
3,2023,180,27
3,2023,190,28
3,2023,200,31
3,2023,210,33
3,2023,220,36
3,2023,230,39
3,2023,240,39
3,2023,250,40
3,2023,260,45
3,2023,270,47
3,2023,280,48
3,2023,290,49
3,2023,300,49
3,2023,310,51
3,2023,320,52
3,2023,330,52
3,2023,340,54
3,2023,350,56
3,2023,360,59
3,2023,370,60
3,2023,380,61
3,2023,390,63
3,2023,400,64
2,2023,10,4
2,2023,20,7
2,2023,30,9
2,2023,40,12
2,2023,50,12
2,2023,60,13
2,2023,70,13
2,2023,80,13
2,2023,90,13
2,2023,100,13
2,2023,110,14
2,2023,120,17
2,2023,130,19
2,2023,140,21
2,2023,150,22
2,2023,160,24
2,2023,170,25
2,2023,180,26
2,2023,190,29
2,2023,200,30
2,2023,210,35
2,2023,220,37
2,2023,230,37
2,2023,240,39
2,2023,250,42
2,2023,260,46
2,2023,270,49
2,2023,280,53
2,2023,290,54
2,2023,300,54
2,2023,310,56
2,2023,320,58
2,2023,330,61
2,2023,340,63
2,2023,350,66
2,2023,360,66
2,2023,370,66
2,2023,380,67
2,2023,390,67
2,2023,400,68
1,2023,10,4
1,2023,20,8
1,2023,30,10
1,2023,40,12
1,2023,50,13
1,2023,60,13
1,2023,70,14
1,2023,80,15
1,2023,90,17
1,2023,100,19
1,2023,110,21
1,2023,120,23
1,2023,130,26
1,2023,140,29
1,2023,150,32
1,2023,160,34
1,2023,170,36
1,2023,180,36
1,2023,190,41
1,2023,200,43
1,2023,210,45
1,2023,220,45
1,2023,230,46
1,2023,240,48
1,2023,250,50
1,2023,260,55
1,2023,270,56
1,2023,280,60
1,2023,290,61
1,2023,300,62
1,2023,310,64
1,2023,320,65
1,2023,330,67
1,2023,340,68
1,2023,350,68
1,2023,360,71
1,2023,370,72
1,2023,380,72
1,2023,390,73
1,2023,400,76
168,2024,10,0
168,2024,20,0
168,2024,30,1
168,2024,40,1
168,2024,50,3
168,2024,60,3
168,2024,70,4
168,2024,80,4
168,2024,90,8
168,2024,100,9
168,2024,110,14
168,2024,120,15
168,2024,130,18
168,2024,140,19
168,2024,150,21
168,2024,160,25
168,2024,170,25
168,2024,180,27
168,2024,190,28
168,2024,200,28
168,2024,210,30
168,2024,220,34
168,2024,230,36
168,2024,240,39
168,2024,250,41
168,2024,260,42
168,2024,270,42
168,2024,280,43
168,2024,290,44
168,2024,300,45
168,2024,310,46
168,2024,320,47
168,2024,330,48
168,2024,340,50
168,2024,350,50
168,2024,360,51
168,2024,370,51
168,2024,380,52
168,2024,390,53
168,2024,400,55
24,2024,10,4
24,2024,20,9
24,2024,30,15
24,2024,40,16
24,2024,50,19
24,2024,60,21
24,2024,70,24
24,2024,80,25
24,2024,90,28
24,2024,100,30
24,2024,110,31
24,2024,120,35
24,2024,130,36
24,2024,140,37
24,2024,150,40
24,2024,160,41
24,2024,170,41
24,2024,180,42
24,2024,190,43
24,2024,200,43
24,2024,210,46
24,2024,220,46
24,2024,230,47
24,2024,240,49
24,2024,250,50
24,2024,260,50
24,2024,270,50
24,2024,280,51
24,2024,290,52
24,2024,300,53
24,2024,310,54
24,2024,320,54
24,2024,330,54
24,2024,340,55
24,2024,350,56
24,2024,360,59
24,2024,370,60
24,2024,380,60
24,2024,390,61
24,2024,400,63
6,2024,10,3
6,2024,20,4
6,2024,30,6
6,2024,40,12
6,2024,50,16
6,2024,60,21
6,2024,70,22
6,2024,80,24
6,2024,90,27
6,2024,100,30
6,2024,110,32
6,2024,120,33
6,2024,130,36
6,2024,140,38
6,2024,150,40
6,2024,160,40
6,2024,170,40
6,2024,180,41
6,2024,190,45
6,2024,200,48
6,2024,210,49
6,2024,220,50
6,2024,230,52
6,2024,240,54
6,2024,250,54
6,2024,260,54
6,2024,270,55
6,2024,280,56
6,2024,290,58
6,2024,300,58
6,2024,310,58
6,2024,320,59
6,2024,330,60
6,2024,340,62
6,2024,350,62
6,2024,360,62
6,2024,370,62
6,2024,380,63
6,2024,390,64
6,2024,400,65
3,2024,10,2
3,2024,20,6
3,2024,30,10
3,2024,40,16
3,2024,50,19
3,2024,60,24
3,2024,70,27
3,2024,80,29
3,2024,90,31
3,2024,100,31
3,2024,110,33
3,2024,120,35
3,2024,130,39
3,2024,140,39
3,2024,150,39
3,2024,160,39
3,2024,170,41
3,2024,180,41
3,2024,190,43
3,2024,200,45
3,2024,210,46
3,2024,220,48
3,2024,230,48
3,2024,240,50
3,2024,250,52
3,2024,260,52
3,2024,270,53
3,2024,280,54
3,2024,290,54
3,2024,300,56
3,2024,310,59
3,2024,320,61
3,2024,330,62
3,2024,340,63
3,2024,350,64
3,2024,360,64
3,2024,370,64
3,2024,380,64
3,2024,390,66
3,2024,400,68
2,2024,10,1
2,2024,20,6
2,2024,30,9
2,2024,40,14
2,2024,50,20
2,2024,60,24
2,2024,70,27
2,2024,80,32
2,2024,90,32
2,2024,100,37
2,2024,110,38
2,2024,120,40
2,2024,130,42
2,2024,140,43
2,2024,150,45
2,2024,160,45
2,2024,170,46
2,2024,180,47
2,2024,190,49
2,2024,200,51
2,2024,210,52
2,2024,220,52
2,2024,230,53
2,2024,240,56
2,2024,250,56
2,2024,260,56
2,2024,270,60
2,2024,280,63
2,2024,290,63
2,2024,300,64
2,2024,310,65
2,2024,320,66
2,2024,330,68
2,2024,340,68
2,2024,350,70
2,2024,360,73
2,2024,370,74
2,2024,380,75
2,2024,390,76
2,2024,400,76
1,2024,10,5
1,2024,20,9
1,2024,30,12
1,2024,40,19
1,2024,50,23
1,2024,60,27
1,2024,70,29
1,2024,80,32
1,2024,90,35
1,2024,100,39
1,2024,110,40
1,2024,120,44
1,2024,130,46
1,2024,140,49
1,2024,150,51
1,2024,160,53
1,2024,170,56
1,2024,180,57
1,2024,190,57
1,2024,200,58
